transaction,address,bedroom,bathroom,living_room,sales_price,rent_perMonth,rent_perWeek,description,propertyType,location,agent,listing_source,listing_url,listed_date
rent,"Belvedere Heights, Lisson Grove, London NW8",2,2,1,,2300,531,"This is a beautifully decorated modern two double bedroom, two bathroom apartment on the higher floor of this popular portered block within ...",flat,NW8,Redac Strattons - Central London Hub,zoopla,https://www.zoopla.co.uk/to-rent/details/64672934/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,19-05-2023
rent,"Narcissus Road, West Hampstead, London NW6",1,1,,,1500,346,"All bills included! Introducing a stunning newly refurbished studio flat in the heart of West Hampstead, situated on the desirable Narcissus Road. ...",Studio,NW6,Belgrave Estates,zoopla,https://www.zoopla.co.uk/to-rent/details/64672917/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,19-05-2023
rent,"Hoxton Street, London N1",2,1,,,2496,576,"The Flat is situated on Hoxton Street, which is known for it's wide variety of shops, market, restaurants, bars, and entertainment options. The ...",flat,N1,MK London Properties,zoopla,https://www.zoopla.co.uk/to-rent/details/64672915/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,19-05-2023
rent,"Cambridge Rd, Kingston Upon Thames, London KT1",1,1,,,1600,369,Material Information Council Tax Band :C,flat,KT1,B & K Estates,zoopla,https://www.zoopla.co.uk/to-rent/details/64672914/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,19-05-2023
rent,"Old Oak Common Lane, East Acton, London W3",1,,,,750,173,"Savoy Property Consultants are delighted to present to the lettings market this spacious double room in a friendly, professional house share ...",,W3,Savoy Property Consultants,zoopla,https://www.zoopla.co.uk/to-rent/details/54451204/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,19-05-2023
rent,"Lorrimore Road, Kennington, Southwark, London SE17",4,2,1,,3987,920,"Reiss-Samuels are delighted to present this Large 4 bedroom 2 bathroom Maisonette to the market offered furnished ideal for students, located ...",maisonette,SE17,Reiss- Samuels,zoopla,https://www.zoopla.co.uk/to-rent/details/64672900/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,19-05-2023
rent,"Pepper Street, Isle Of Dogs, London E14",2,,,,1950,450,"JS Estate Management are proud to present this newly-refurbished 2 Bed, 2 bath in an enviable location of E14 Docklands. This Property has just ...",flat,E14,JS Estate Management,zoopla,https://www.zoopla.co.uk/to-rent/details/58703154/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,19-05-2023
rent,"Rossetti Road, London SE16",2,1,,,1911,441,"A fantastic 2 bedroom property located in a private development in south Bermondsey close to shops, rail and local tube stations. This property ...",flat,SE16,JS Estate Management,zoopla,https://www.zoopla.co.uk/to-rent/details/64672896/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,19-05-2023
rent,"The Henson Building, Oval Road, Camden NW1",1,1,1,,2500,577,A beautifully finished one double bedroom apartment located in the desirable canal side development The Henson building,flat,NW1,Primden Group,zoopla,https://www.zoopla.co.uk/to-rent/details/64672892/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,19-05-2023
rent,"Stanhope Avenue, Harrow HA3",3,1,1,,2100,485,"A well presented unfournished 3 bedroom house to let in a quiet residential street within walking distance to the High Road amenities, Homebase, ...",,HA3,Charringtons,zoopla,https://www.zoopla.co.uk/to-rent/details/64672881/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,19-05-2023
rent,"Thomas Tower, Dalston Square, London E8",1,1,,,1800,415,A modern apartment in the sought after Dalston Square development located just a minute from Dalston Junction station. The property offers a ...,flat,E8,Domeview Properties,zoopla,https://www.zoopla.co.uk/to-rent/details/29964227/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,19-05-2023
